# cutoff voltage is 12.1 +- 0.1 V
# values of division of the a.v. and c. are 1 V and 0.5 muA
# accelerating voltage (V)	current (50 muA)
12	0.06
13	0.08
14	0.11
15	0.16
16	0.20
17	0.23
18	0.25
19	0.28
20	0.31
21	0.33
22	0.35
23	0.36
24	0.37
25	0.36
26	0.35
27	0.34
28	0.31
29	0.28
30	0.26
31	0.24
32	0.21
33	0.20
34	0.20
35	0.20
36	0.21
37	0.22
38	0.23
39	0.25
40	0.28
41	0.30
42	0.33
43	0.34
44	0.35
45	0.36
46	0.37
47	0.37
48	0.38
49	0.37
50	0.36
51	0.37
52	0.36
53	0.35
54	0.34
55	0.33
56	0.34
57	0.35
58	0.36
59	0.37
60	0.37
