# cutoff voltage is 7.5 V
# glow voltage is 3 V
# accelerating voltage (V)	current (50 muA)
0	0
2.5	0
4	2
5	3
6	5
7	7
8	12
9	15
10.5	23
11	25
12	29
13.5	39
14.5	43
15	45
15.5	47
16	49
16.5	51
17	54
17.5	56
18	57
18.5	58
19	59
19.5	60
20	60.5
20.5	60.5
21	60.5
21.5	60
22	59
22.5	58
23	57
23.5	56
24	55
24.5	53
25	51
25.5	49
26	48
26.5	47
27	46
27.5	45
28	44
28.5	43
29	42.5
29.5	42
30	41.5
30.5	41
31	41
31.5	41
32	42
32.5	43
33	44
33.5	46
34	47
34.5	49
35	51
35.5	53
36	55
36.5	56
38	60
39	63
40	65
41	66
42	67
43	67
43.5	67
44	67
44.5	66.5
45	66.5
45.5	66
46	66
46.5	65.5
47	65.5
48	65
48.5	65
49	65
49.5	65
50	65.5
50.5	66
51.5	66.5
52.5	67
53.5	68
55	69
